ensgene	SRR13593674	SRR13593675	SRR13593676	SRR13593677	Sum Controls	Sum Treatment	Mean Controls	Mean Treatment	STD Controls	STD Treatment	RPM_controls	RPM_cpt-cef	L2F	p-value	adjusted-p-value
ENSG00000108960	5.514772435	5.618546316	5.431511682	5.593412044	11.133318751000001	11.024923726	5.5666593755000005	5.512461863	0.07337921496514548	0.11448084384675676	79.77303647995213	79.0813259487454	-0.012564132894992116	0.19897612707948995	1.0
ENSG00000198892	2.898155851	2.900222626	3.007968117	2.887794597	5.798378477	5.895762714	2.8991892385	2.947881357	0.0014614306176870377	0.08497551091105705	41.546844037744215	42.290064266181915	0.025579860942203304	0.1990466875982627	1.0
ENSG00000158716	3.731615257	3.882229558	3.780837051	3.719515562	7.613844815	7.5003526130000004	3.8069224075	3.7501763065000002	0.10650039358077186	0.043360840704355974	54.55511817849769	53.79972183575153	-0.020115838175914984	0.19910930888154282	1.0
ENSG00000197816	2.039816983	2.043163149	2.042119051	2.232536507	4.082980132	4.274655557999999	2.041490066	2.1373277789999996	0.002366096669575893	0.13464547439389107	29.255582302240306	30.661929089232963	0.06773653292444859	0.19914613817892507	1.0
ENSG00000137806	4.564620931	4.538985887	4.465944874	4.570278815	9.103606818	9.036223689	4.551803409	4.5181118445	0.01812671344841579	0.07377523718901727	65.22963862201692	64.81646210489016	-0.00916736010766363	0.19941517095990363	1.0
ENSG00000180745	4.863042122	4.941167743	4.903087088	4.840848645	9.804209865	9.743935733	4.9021049325	4.8719678665	0.05524315639351005	0.044009225095792436	70.24963613365529	69.89285158570179	-0.007345843768700035	0.19943300129267127	1.0
ENSG00000286261	2.804915845	2.714784011	2.776042857	2.83099071	5.519699856	5.607033567	2.759849928	2.8035167835	0.06373283102218032	0.03885399946794146	39.55004144038582	40.21902193044556	0.02419879142388269	0.19960358803626174	1.0
ENSG00000113108	4.691741748	4.611383051	4.740682162	4.641386262	9.303124798999999	9.382068424	4.6515623994999995	4.691034212	0.0568221795760153	0.07021280423402099	66.65923527084095	67.2971922120467	0.013741547024227483	0.19979317762575766	1.0
ENSG00000151687	2.434393198	2.423246063	2.569910192	2.421509496	4.857639261	4.991419688000001	2.4288196305	2.4957098440000003	0.00788221474930181	0.10493513847440332	34.806210317062416	35.80324881185605	0.04074576189616177	0.20014437053818326	1.0
ENSG00000213186	5.50006992	5.652796666	5.44566159	5.589373181	11.152866586	11.035034771	5.576433293	5.5175173855	0.10799411776515598	0.10161944053120743	79.91310164735056	79.1538520600546	-0.01377248897412494	0.2005986302469271	1.0
ENSG00000187801	2.06643794	2.025343721	2.037785831	1.992460059	4.091781661000001	4.03024589	2.0458908305000003	2.015122945	0.029058000922465133	0.032050160743715334	29.318647477117594	28.908788559602726	-0.02031039777638035	0.20064577376350343	1.0
ENSG00000254692	4.321361668	3.451796506	3.486341141	3.654164185	7.773158174	7.1405053259999995	3.886579087	3.5702526629999998	0.6148754227337786	0.11866881245176827	55.69663857178645	51.21855199709691	-0.12092379303247766	0.20088142003639442	1.0
ENSG00000154328	2.978917343	3.049824227	2.931777536	3.012190936	6.02874157	5.943968472	3.014370785	2.971984236	0.05013873850920807	0.05686086043826653	43.19745369264815	42.63584219224721	-0.018879519443440962	0.20113296878896486	1.0
ENSG00000279765	4.979871047	5.134911786	5.045901531	4.965401926	10.114782833	10.011303457	5.0573914165	5.0056517285	0.10963035790707389	0.05692181657833849	72.47496977046735	71.8106693099147	-0.013284617347106389	0.20114381189404623	1.0
ENSG00000205707	2.480983121	2.530732361	2.49856998	2.454378087	5.011715482	4.9529480669999995	2.505857741	2.4764740334999997	0.035178024962877134	0.031248387213770504	35.91020529586621	35.52729345146631	-0.01546611567586925	0.20118359575335687	1.0
ENSG00000107651	7.693805847	7.11371033	7.436662863	7.668563487	14.807516177	15.105226349999999	7.4037580885	7.552613174999999	0.4101894738066163	0.1639785037917922	106.0995876058253	108.3491694093855	0.030269045250921313	0.2014891553478712	1.0
ENSG00000120616	6.541649997	6.30672494	6.568216902	6.422694126	12.848374936999999	12.990911028	6.4241874684999996	6.495455514	0.16611710087533677	0.10290014172669094	92.06184655993448	93.18327227549466	0.017467613646254876	0.2017916501818059	1.0
ENSG00000146757	5.921355545	5.660385869	5.782071747	5.977066648	11.581741414	11.759138395	5.790870707	5.8795691975	0.18453342758365635	0.1378822167938997	82.98609794473082	84.34781767227638	0.02348106967324423	0.201832638981794	1.0
ENSG00000028528	8.084562138	7.993233022	8.351055801	7.926509134	16.07779516	16.277564935	8.03889758	8.1387824675	0.06457943724337332	0.30019982716584676	115.20145686125049	116.75830602264283	0.019366223380751654	0.20189482003932513	1.0
ENSG00000134107	4.585579109	4.647007292	4.862650232	4.560571088	9.232586400999999	9.42322132	4.6162932004999995	4.71161066	0.043436284755267784	0.21360221117742784	66.15380986061582	67.59238024809959	0.03103637424841914	0.2019293913699026	1.0
ENSG00000266028	6.842068502	6.660490882	6.741826751	6.659959688	13.502559384000001	13.401786438999999	6.751279692000001	6.700893219499999	0.12839476641371383	0.05788875540312616	96.74924309661058	96.13046475583705	-0.009256665889516172	0.20202634330648533	1.0
ENSG00000198736	4.726862533	4.65960796	4.640060886	4.69362076	9.386470493000001	9.333681645999999	4.6932352465000005	4.666840822999999	0.04755616463410603	0.037872550104897255	67.25642818668304	66.95011583694182	-0.00658561143217825	0.2020847537959167	1.0
ENSG00000099377	4.618632609	4.549040045	4.382550763	4.627207614	9.167672654	9.009758377	4.583836327	4.5048791885	0.04920937392455859	0.1729985184058463	65.68868649324469	64.62662750679027	-0.02351621020285252	0.20231480951432856	1.0
ENSG00000164093	4.248423284	4.252964179	4.255583498	4.227264292	8.501387463	8.482847790000001	4.2506937315	4.2414238950000005	0.003210897647156002	0.020024702600418713	60.914585074211764	60.847119465557796	-0.0015987343371051503	0.202518304735224	1.0
